"Mazentop Slideshow","幻灯片"
"Manage Slideshows","管理幻灯片"
"Add New Slideshow","添加新幻灯片"
"Slideshows","幻灯片"
"Slideshow Information","幻灯片信息"
"Slideshow Title","标题"
"Banners","图片"
"Slideshow Options","幻灯片选项"
"Animate In","进入的动画"
"Animate Out","出去的动画"
"The CSS3 animation type applied when the background animates into view","背景动画进入视图时应用的CSS3动画类型"
"Start Slide","开始幻灯片"
"Autoplay","自动播放"
"Pause on mouse over","鼠标移上暂停"
"Autoplay Speed","播放速度"
"Loop","循环"
"Next & Prev navigation","下一页和上一页导航"
"Paging navigation","分页导航"
"Show Thumbnails","显示缩略图"
"Lazy Load","Lazy Load"
